epochs,alpha,beta,epsilon,per_random_forest_n_estimators,per_random_forest_max_depth,mmd_kernel,random_state,baseline_random_state,run_id,meta_forests_accuracy,rf_baseline_accuracy,improvement,runtime
10,-0.5,0.5,1e-10,150,5,poly,42,42,32,0.6150392817059483,0.6150392817059483,0.0,104.10027265548706
10,-0.5,0.5,1e-10,150,7,rbf,42,42,33,0.6150392817059483,0.6150392817059483,0.0,136.1459400653839
10,-0.5,0.5,1e-10,150,7,linear,42,42,34,0.6150392817059483,0.6150392817059483,0.0,153.94601678848267
10,-0.5,0.5,1e-10,150,7,poly,42,42,35,0.6150392817059483,0.6150392817059483,0.0,162.858238697052
10,-0.5,2.0,1e-07,50,3,rbf,42,42,36,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.527437925338745
10,-0.5,2.0,1e-07,50,3,linear,42,42,37,0.6150392817059483,0.08641975308641975,0.5286195286195285,48.26075220108032
10,-0.5,2.0,1e-07,50,3,poly,42,42,38,0.6150392817059483,0.08641975308641975,0.5286195286195285,47.00573205947876
10,-0.5,2.0,1e-07,50,5,rbf,42,42,39,0.6150392817059483,0.6150392817059483,0.0,60.987650871276855
10,-0.5,2.0,1e-07,50,5,linear,42,42,40,0.6150392817059483,0.6150392817059483,0.0,55.33469891548157
10,-0.5,2.0,1e-07,50,5,poly,42,42,41,0.6150392817059483,0.6150392817059483,0.0,56.29947352409363
10,-0.5,2.0,1e-07,50,7,rbf,42,42,42,0.6150392817059483,0.6150392817059483,0.0,64.06577277183533
10,-0.5,2.0,1e-07,50,7,linear,42,42,43,0.6150392817059483,0.6150392817059483,0.0,62.78700232505798
10,-0.5,2.0,1e-07,50,7,poly,42,42,44,0.6150392817059483,0.6150392817059483,0.0,59.79399609565735
10,-0.5,2.0,1e-07,150,3,rbf,42,42,45,0.6150392817059483,0.08641975308641975,0.5286195286195285,112.95632815361023
10,-0.5,2.0,1e-07,150,3,linear,42,42,46,0.6150392817059483,0.08641975308641975,0.5286195286195285,104.85284566879272
10,-0.5,2.0,1e-07,150,3,poly,42,42,47,0.6150392817059483,0.08641975308641975,0.5286195286195285,95.61531782150269
10,-0.5,2.0,1e-07,150,5,rbf,42,42,48,0.6150392817059483,0.6150392817059483,0.0,115.99020218849182
10,-0.5,2.0,1e-07,150,5,linear,42,42,49,0.6150392817059483,0.6150392817059483,0.0,114.11456513404846
10,-0.5,2.0,1e-07,150,5,poly,42,42,50,0.6150392817059483,0.6150392817059483,0.0,114.54778146743774
10,-0.5,2.0,1e-07,150,7,rbf,42,42,51,0.6150392817059483,0.6150392817059483,0.0,136.7056565284729
10,-0.5,2.0,1e-07,150,7,linear,42,42,52,0.6150392817059483,0.6150392817059483,0.0,132.25483560562134
10,-0.5,2.0,1e-07,150,7,poly,42,42,53,0.6150392817059483,0.6150392817059483,0.0,119.60626339912415
10,-0.5,2.0,1e-10,50,3,rbf,42,42,54,0.6150392817059483,0.08641975308641975,0.5286195286195285,20.473687648773193
10,-0.5,2.0,1e-10,50,3,linear,42,42,55,0.6150392817059483,0.08641975308641975,0.5286195286195285,18.164146900177002
10,-0.5,2.0,1e-10,50,3,poly,42,42,56,0.6150392817059483,0.08641975308641975,0.5286195286195285,17.870655298233032
10,-0.5,2.0,1e-10,50,5,rbf,42,42,57,0.6150392817059483,0.6150392817059483,0.0,26.442922592163086
10,-0.5,2.0,1e-10,50,5,linear,42,42,58,0.6150392817059483,0.6150392817059483,0.0,27.835975408554077
10,-0.5,2.0,1e-10,50,5,poly,42,42,59,0.6150392817059483,0.6150392817059483,0.0,24.917165517807007
10,-0.5,2.0,1e-10,50,7,rbf,42,42,60,0.6150392817059483,0.6150392817059483,0.0,31.616570234298706
10,-0.5,2.0,1e-10,50,7,linear,42,42,61,0.6150392817059483,0.6150392817059483,0.0,29.012242078781128
10,-0.5,2.0,1e-10,50,7,poly,42,42,62,0.6150392817059483,0.6150392817059483,0.0,28.76191473007202
10,-0.5,2.0,1e-10,150,3,rbf,42,42,63,0.6150392817059483,0.08641975308641975,0.5286195286195285,53.198720932006836
10,-0.5,2.0,1e-10,150,3,linear,42,42,64,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.90156674385071
10,-0.5,2.0,1e-10,150,3,poly,42,42,65,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.56451439857483
10,-0.5,2.0,1e-10,150,5,rbf,42,42,66,0.6150392817059483,0.6150392817059483,0.0,72.29566240310669
10,-0.5,2.0,1e-10,150,5,linear,42,42,67,0.6150392817059483,0.6150392817059483,0.0,70.65052938461304
10,-0.5,2.0,1e-10,150,5,poly,42,42,68,0.6150392817059483,0.6150392817059483,0.0,70.3114881515503
10,-0.5,2.0,1e-10,150,7,rbf,42,42,69,0.6150392817059483,0.6150392817059483,0.0,88.40094423294067
10,-0.5,2.0,1e-10,150,7,linear,42,42,70,0.6150392817059483,0.6150392817059483,0.0,87.05453944206238
10,-0.5,2.0,1e-10,150,7,poly,42,42,71,0.6150392817059483,0.6150392817059483,0.0,86.25753569602966
10,-2.0,0.5,1e-07,50,3,rbf,42,42,72,0.6150392817059483,0.08641975308641975,0.5286195286195285,20.11427617073059
10,-2.0,0.5,1e-07,50,3,linear,42,42,73,0.6150392817059483,0.08641975308641975,0.5286195286195285,18.915445566177368
10,-2.0,0.5,1e-07,50,3,poly,42,42,74,0.6150392817059483,0.08641975308641975,0.5286195286195285,20.2164363861084
10,-2.0,0.5,1e-07,50,5,rbf,42,42,75,0.6150392817059483,0.6150392817059483,0.0,27.694695711135864
10,-2.0,0.5,1e-07,50,5,linear,42,42,76,0.6150392817059483,0.6150392817059483,0.0,27.007120370864868
10,-2.0,0.5,1e-07,50,5,poly,42,42,77,0.6150392817059483,0.6150392817059483,0.0,25.889530420303345
10,-2.0,0.5,1e-07,50,7,rbf,42,42,78,0.6150392817059483,0.6150392817059483,0.0,31.903619289398193
10,-2.0,0.5,1e-07,50,7,linear,42,42,79,0.6150392817059483,0.6150392817059483,0.0,29.53207564353943
10,-2.0,0.5,1e-07,50,7,poly,42,42,80,0.6150392817059483,0.6150392817059483,0.0,28.319606065750122
10,-2.0,0.5,1e-07,150,3,rbf,42,42,81,0.6150392817059483,0.08641975308641975,0.5286195286195285,52.30120801925659
10,-2.0,0.5,1e-07,150,3,linear,42,42,82,0.6150392817059483,0.08641975308641975,0.5286195286195285,50.319483280181885
10,-2.0,0.5,1e-07,150,3,poly,42,42,83,0.6150392817059483,0.08641975308641975,0.5286195286195285,50.58465051651001
10,-2.0,0.5,1e-07,150,5,rbf,42,42,84,0.6150392817059483,0.6150392817059483,0.0,70.0133490562439
10,-2.0,0.5,1e-07,150,5,linear,42,42,85,0.6150392817059483,0.6150392817059483,0.0,67.82970833778381
10,-2.0,0.5,1e-07,150,5,poly,42,42,86,0.6150392817059483,0.6150392817059483,0.0,71.49046778678894
10,-2.0,0.5,1e-07,150,7,rbf,42,42,87,0.6150392817059483,0.6150392817059483,0.0,84.91907119750977
10,-2.0,0.5,1e-07,150,7,linear,42,42,88,0.6150392817059483,0.6150392817059483,0.0,83.19725799560547
10,-2.0,0.5,1e-07,150,7,poly,42,42,89,0.6150392817059483,0.6150392817059483,0.0,83.5093264579773
10,-2.0,0.5,1e-10,50,3,rbf,42,42,90,0.6150392817059483,0.08641975308641975,0.5286195286195285,20.05655288696289
10,-2.0,0.5,1e-10,50,3,linear,42,42,91,0.6150392817059483,0.08641975308641975,0.5286195286195285,18.131459951400757
10,-2.0,0.5,1e-10,50,3,poly,42,42,92,0.6150392817059483,0.08641975308641975,0.5286195286195285,18.626288175582886
10,-2.0,0.5,1e-10,50,5,rbf,42,42,93,0.6150392817059483,0.6150392817059483,0.0,27.116746187210083
10,-2.0,0.5,1e-10,50,5,linear,42,42,94,0.6150392817059483,0.6150392817059483,0.0,26.145141124725342
10,-2.0,0.5,1e-10,50,5,poly,42,42,95,0.6150392817059483,0.6150392817059483,0.0,26.34495186805725
10,-2.0,0.5,1e-10,50,7,rbf,42,42,96,0.6150392817059483,0.6150392817059483,0.0,30.62150526046753
10,-2.0,0.5,1e-10,50,7,linear,42,42,97,0.6150392817059483,0.6150392817059483,0.0,29.13713836669922
10,-2.0,0.5,1e-10,50,7,poly,42,42,98,0.6150392817059483,0.6150392817059483,0.0,28.605132818222046
10,-2.0,0.5,1e-10,150,3,rbf,42,42,99,0.6150392817059483,0.08641975308641975,0.5286195286195285,53.40060758590698
10,-2.0,0.5,1e-10,150,3,linear,42,42,100,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.130948305130005
10,-2.0,0.5,1e-10,150,3,poly,42,42,101,0.6150392817059483,0.08641975308641975,0.5286195286195285,53.67006278038025
10,-2.0,0.5,1e-10,150,5,rbf,42,42,102,0.6150392817059483,0.6150392817059483,0.0,70.97784519195557
10,-2.0,0.5,1e-10,150,5,linear,42,42,103,0.6150392817059483,0.6150392817059483,0.0,68.66501784324646
10,-2.0,0.5,1e-10,150,5,poly,42,42,104,0.6150392817059483,0.6150392817059483,0.0,69.94005823135376
